job_role,skills
data scientist,"python, sql, tensorflow, machine learning, communication"
frontend developer,"html, css, javascript, react, teamwork"
backend developer,"java, spring, sql, rest apis"
designer,"figma, adobe xd, ui, ux design"
full stack python developer,"python, django, javascript, react, agile"
game developer,"c, unreal engine, game design, teamwork"
devops engineer,"kubernetes, docker, aws, ci, cd, linux"
full stack java developer,"java, spring boot, hibernate, microservices"
blockchain developer,"solidity, ethereum, javascript, blockchain"
marketing,"marketing strategy, seo, content creation, analytics"
hr,"recruitment, hr policies, communication, leadership"
c# developer,"c, sql, aspnet"
php developer,"php, laravel, mysql, javascript"
mobile developer,"swift, ios development, ui, ux"
cybersecurity engineer,"network security, penetration testing, firewalls"
software project manager,"agile, scrum, project management, leadership"
data analyst,"python, pandas, sql, data visualization"
kubernetes operations engineer,"kubernetes, helm, aws, terraform"
web developer,"html, css, javascript, nodejs, mongodb"
aiml,"python, machine learning, deep learning, nlp"
mobile developer,"java, android development, kotlin, rest apis"
full stack python developer,"python, flask, javascript, postgresql"
full stack java developer,"java, spring, angular, microservices"
designer,"ui, ux, prototyping"
data analyst,"sql, tableau, statistics"
game developer,"c, unity, game physics, d modeling"
devops engineer,"aws, jenkins, docker, ansible"
php developer,"php, mysql, javascript"
data scientist,"python, tensorflow, keras"
blockchain developer,"blockchain, solidity, web"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, core data"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
